type,client,tx,amount
deposit,242,266,3836.4765
deposit,472,267,8640.4053
withdrawal,438,269,8205.6742
withdrawal,429,271,8652.7407
withdrawal,229,272,3325.0671
withdrawal,391,273,9328.5897
deposit,446,274,5718.4046
withdrawal,211,276,7052.5736
deposit,416,277,4953.7912
withdrawal,19,278,8697.1334
withdrawal,52,280,154.4606
deposit,74,281,749.2077
withdrawal,174,283,6498.7167
withdrawal,437,284,9541.4418
deposit,389,286,6174.9772
withdrawal,121,287,9974.2618
deposit,383,288,7603.9366
withdrawal,228,290,9034.3372
deposit,24,291,2934.3844
deposit,192,292,5312.132
deposit,290,293,1700.6665
withdrawal,41,294,6197.484
deposit,124,295,2322.6523
withdrawal,327,296,6668.7403
withdrawal,280,298,9452.4111
withdrawal,301,299,6903.4448
dispute,102,187,
withdrawal,122,302,5748.5445
withdrawal,359,303,2745.5293
withdrawal,382,305,7757.6341
withdrawal,118,306,2190.8264
deposit,98,307,6282.8528
deposit,463,308,3090.0199
withdrawal,226,309,7323.8653
withdrawal,90,312,5308.9929
deposit,468,313,2570.4439
deposit,494,317,8601.5458
withdrawal,371,318,9672.7302
deposit,412,319,7907.029
deposit,8,320,4548.4055
withdrawal,135,322,1084.3527
withdrawal,120,323,9152.6438
withdrawal,114,324,9093.967
deposit,155,325,1398.6303
withdrawal,485,326,1162.0887
withdrawal,70,328,6705.1917
withdrawal,381,329,5873.8161
withdrawal,373,330,6549.5641
withdrawal,427,331,9390.5916
withdrawal,144,332,2173.4796
withdrawal,438,334,5445.1141
withdrawal,331,335,2759.5385
withdrawal,496,336,917.6426
deposit,109,337,506.7345
deposit,171,338,7869.994
deposit,106,339,5864.2445
deposit,2,343,9875.2855
deposit,277,344,1100.1536
deposit,444,345,3583.0645
withdrawal,404,346,158.7951
withdrawal,136,347,5261.3292
withdrawal,382,348,7780.3924
withdrawal,263,349,5038.8831
withdrawal,485,350,4580.9672
withdrawal,494,351,8473.1381
withdrawal,219,352,7124.3007
deposit,228,353,3221.7961
withdrawal,76,354,6243.5506
withdrawal,300,355,3809.6631
withdrawal,306,356,5056.0052
deposit,221,357,8528.0746
withdrawal,212,360,3987.9031
withdrawal,374,361,3125.9232
deposit,131,362,6868.5235
deposit,243,363,933.2078
withdrawal,285,366,6700.4626
withdrawal,211,367,8681.0534
withdrawal,370,368,6004.5005
deposit,181,369,1548.147
deposit,247,370,3501.7898
withdrawal,285,371,5741.4259
deposit,414,372,6090.3402
withdrawal,137,374,7027.285
deposit,180,376,5663.6446
deposit,206,377,918.4851
withdrawal,272,378,4537.0043
withdrawal,81,379,7768.5794
deposit,291,380,1556.6435
deposit,387,381,2721.7563
withdrawal,339,382,4142.4232
deposit,59,384,2833.1815
withdrawal,348,385,455.1282
withdrawal,29,387,9453.2955
withdrawal,393,388,2895.1819
withdrawal,62,389,1757.7723
deposit,195,390,5003.1232
withdrawal,427,391,721.6829
dispute,442,219,
withdrawal,442,394,5734.4234
withdrawal,364,395,1152.6186
withdrawal,471,398,8444.9991
withdrawal,125,399,5240.1015
withdrawal,382,401,7791.3996
deposit,40,402,5306.5176
deposit,179,404,2363.4522
deposit,75,405,6024.3875
dispute,390,49,
withdrawal,253,408,6811.6536
withdrawal,452,409,8642.6045
withdrawal,322,410,683.7943
withdrawal,227,411,5914.6061
withdrawal,181,412,4617.9631
withdrawal,20,413,768.2333
withdrawal,47,415,4627.6539
withdrawal,334,418,5014.1717
deposit,491,419,8109.8571
deposit,429,420,5045.9855
withdrawal,89,421,9909.8692
deposit,269,422,3639.6157
withdrawal,470,423,7744.8734
withdrawal,348,424,660.0526
withdrawal,49,425,2842.1856
deposit,42,428,9167.5478
deposit,358,430,5950.8172
withdrawal,481,431,6435.2891
withdrawal,344,434,183.2871
deposit,159,435,3417.9817
deposit,393,436,9999.7662
deposit,80,437,5077.3894
withdrawal,317,440,1543.3734
deposit,395,442,7212.1088
deposit,23,443,9695.9164
withdrawal,313,444,2340.7954
withdrawal,123,445,9039.8394
withdrawal,100,446,4617.3381
deposit,258,448,8169.0955
withdrawal,411,449,522.7459
deposit,434,451,2851.3451
withdrawal,391,452,9053.1568
dispute,114,207,
withdrawal,213,456,2358.545
deposit,42,457,3187.5301
deposit,333,459,1376.8583
deposit,242,461,7588.6527
deposit,241,462,9058.669
deposit,10,463,5488.4937
withdrawal,373,464,1112.7574
deposit,148,465,478.4467
withdrawal,215,466,629.0087
deposit,264,468,2913.4286
deposit,1,469,5707.0665
deposit,96,470,5235.3221
deposit,185,471,3905.1469
withdrawal,241,472,9810.4132
deposit,177,475,7715.2422
withdrawal,69,477,8135.2751
withdrawal,351,479,6317.7267
withdrawal,416,480,370.8009
deposit,104,481,8858.0181
deposit,243,483,2861.8228
withdrawal,444,485,1245.6256
withdrawal,189,486,7433.3337
withdrawal,255,489,9243.1804
deposit,266,490,7271.0862
deposit,41,491,5455.1985
withdrawal,165,492,6609.5313
withdrawal,157,493,1667.2811
deposit,228,494,7268.4171
withdrawal,467,495,2746.279
withdrawal,39,497,3633.748
dispute,74,281,
withdrawal,65,501,3622.1437
deposit,487,502,6790.9415
withdrawal,486,503,7631.0816
withdrawal,294,504,3980.9424
deposit,333,505,260.1075
withdrawal,96,506,9135.5115
withdrawal,61,507,7040.6741
deposit,103,510,4520.9748
deposit,164,513,5500.4215
deposit,436,515,7937.1701
deposit,261,516,7920.8647
withdrawal,14,518,4674.591
deposit,283,519,658.4153
withdrawal,369,521,7691.8763
deposit,422,522,9723.8249
withdrawal,329,523,6801.4098
deposit,177,524,7678.0486
deposit,67,525,8314.0767
deposit,266,526,1620.5076
withdrawal,101,530,1252.5778
deposit,156,531,5026.2289
deposit,87,532,1712.835
deposit,310,534,8252.5374
withdrawal,15,535,6511.6486
deposit,393,536,4980.8826
withdrawal,322,537,4829.9652
deposit,208,539,6886.4471
withdrawal,81,540,4644.9571
withdrawal,175,541,8614.9893
withdrawal,124,544,4496.5105
withdrawal,73,545,9453.9035
deposit,443,546,9626.8958
withdrawal,462,547,9337.5816
deposit,370,548,4983.1572
withdrawal,264,549,4974.2054
deposit,259,551,2152.2291
withdrawal,181,552,4949.4471
deposit,275,554,4309.8468
withdrawal,452,555,7638.8038
deposit,188,556,5703.2462
withdrawal,100,557,736.244
withdrawal,259,558,8253.2879
deposit,320,559,1287.5052
withdrawal,50,560,5578.7606
deposit,261,562,453.9882
withdrawal,412,564,1490.2577
withdrawal,458,565,9313.756
withdrawal,164,566,5937.6528
deposit,289,568,3684.2097
withdrawal,345,569,5837.4377
deposit,447,571,5969.4992
deposit,297,574,5835.6492
withdrawal,88,575,1478.6093
deposit,349,576,1908.6525
deposit,226,577,4130.1881
withdrawal,105,578,8728.3043
deposit,362,580,5609.3068
withdrawal,340,581,3138.2122
withdrawal,89,582,5463.1859
withdrawal,370,584,6101.1557
withdrawal,153,586,7711.9715
withdrawal,361,587,3171.0904
withdrawal,179,588,2878.606
withdrawal,294,589,8957.7089
withdrawal,75,592,9553.1819
withdrawal,41,593,6560.0645
deposit,383,594,8279.6891
dispute,139,210,
deposit,56,596,2425.3379
deposit,116,598,1002.8794
deposit,52,600,52.8093
withdrawal,81,602,4775.0078
deposit,147,604,6523.335
deposit,119,605,9132.384
deposit,90,606,9339.2922
dispute,96,470,
deposit,5,610,9284.62
withdrawal,172,611,8892.7104
dispute,99,211,
withdrawal,375,614,7186.2631
withdrawal,90,617,8270.0713
withdrawal,264,618,6692.8893
deposit,245,620,69.2944
withdrawal,197,621,9540.3942
deposit,155,622,2616.27
deposit,185,623,6678.1934
withdrawal,239,624,6861.0501
withdrawal,354,627,3676.0715
deposit,114,628,4782.3408
withdrawal,360,630,7573.7479
deposit,411,631,7618.8343
withdrawal,229,633,781.9491
deposit,289,634,5727.444
withdrawal,77,635,1163.284
dispute,106,339,
deposit,461,637,4534.8696
deposit,263,638,5588.4132
withdrawal,371,640,8164.7158
deposit,382,641,453.8527
dispute,177,475,
withdrawal,479,643,4089.2605
withdrawal,394,644,3745.2347
withdrawal,457,645,3757.0797
withdrawal,448,647,1187.213
deposit,276,648,7278.8536
withdrawal,388,650,4630.576
withdrawal,369,651,8233.781
deposit,127,652,2757.2216
withdrawal,392,654,6149.6171
deposit,9,656,1009.8662
deposit,18,657,2448.0968
deposit,23,658,5398.0583
dispute,387,381,
withdrawal,295,661,2369.8034
deposit,449,662,4136.1885
deposit,141,663,6260.3054
deposit,219,664,9722.9301
withdrawal,483,665,7858.2602
withdrawal,164,666,1493.0269
withdrawal,193,667,2410.4409
deposit,116,668,8057.9558
withdrawal,469,669,9677.8941
withdrawal,286,670,2429.3423
deposit,105,671,9222.3388
deposit,434,672,516.3148
deposit,194,673,8736.331
deposit,287,676,8694.869
deposit,171,677,2118.8659
deposit,387,679,6956.5672
deposit,361,680,5521.2408
withdrawal,398,681,5336.9676
withdrawal,184,682,5128.6526
withdrawal,255,683,7616.5281
deposit,212,685,7412.7825
withdrawal,9,686,2952.6277
withdrawal,101,687,5698.3253
withdrawal,126,688,2574.0102
withdrawal,421,689,4608.8292
withdrawal,87,691,1841.2937
deposit,456,692,5239.9202
dispute,484,251,
deposit,212,695,680.6114
withdrawal,78,696,3732.6337
withdrawal,317,697,6593.1841
withdrawal,9,698,119.4978
withdrawal,417,701,8061.8708
deposit,466,702,5244.3296
withdrawal,124,703,8152.3287
withdrawal,41,705,4590.5185
deposit,116,707,6537.7035
deposit,440,708,935.9116
withdrawal,195,709,562.0933
withdrawal,433,711,5659.0004
dispute,440,708,
deposit,289,715,9287.7348
deposit,162,716,5870.774
deposit,421,718,2993.4696
withdrawal,289,719,6770.6726
deposit,277,720,7905.1904
dispute,353,143,
deposit,51,722,3406.5869
withdrawal,394,723,9689.2364
withdrawal,168,724,7835.6978
withdrawal,231,725,5530.8242
withdrawal,193,726,857.8555
deposit,317,727,7131.3722
withdrawal,43,728,7117.0599
withdrawal,325,729,3167.4656
withdrawal,55,730,4447.9139
deposit,390,731,873.885
withdrawal,221,732,1033.826
deposit,46,733,5969.6486
withdrawal,402,734,124.3938
deposit,212,735,7248.7136
withdrawal,267,737,1695.848
withdrawal,138,738,1460.2023
withdrawal,86,739,2998.2228
withdrawal,401,740,9442.2787
deposit,370,741,4579.1585
withdrawal,70,742,3322.8399
withdrawal,318,743,4402.789
deposit,165,745,4790.6184
withdrawal,496,747,9677.6631
withdrawal,401,748,2803.7212
deposit,403,749,9320.7395
deposit,103,750,6817.4446
withdrawal,282,751,9429.8062
withdrawal,108,752,8312.9868
withdrawal,345,755,2420.9697
withdrawal,338,756,7890.9786
withdrawal,38,757,5822.8579
withdrawal,274,758,5436.9084
deposit,275,761,1094.5849
withdrawal,128,762,1664.2186
withdrawal,314,763,9668.1445
deposit,221,765,2588.125
deposit,192,767,3450.3289
withdrawal,13,768,4160.3383
deposit,493,769,3483.9382
deposit,176,770,5211.6272
withdrawal,179,771,7220.2174
withdrawal,232,772,447.7858
withdrawal,364,773,6480.0512
deposit,125,776,3310.5656
resolve,219,99,
withdrawal,323,778,3956.4282
deposit,378,779,4496.3005
deposit,220,780,2058.639
deposit,408,782,7995.2241
withdrawal,275,783,1971.5457
withdrawal,59,784,5277.6225
withdrawal,328,785,6113.4729
withdrawal,301,786,8455.3325
withdrawal,317,787,9186.9071
deposit,303,788,3132.5443
deposit,123,789,3733.6874
withdrawal,73,790,5964.6617
deposit,295,791,4867.2155
deposit,276,792,5549.5708
deposit,251,793,3146.4856
withdrawal,231,794,9518.4677
withdrawal,249,795,9638.3271
withdrawal,259,796,6847.282
deposit,228,798,5654.4126
dispute,408,782,
withdrawal,141,800,1682.9216
withdrawal,235,801,5497.7121
withdrawal,58,802,7751.3552
withdrawal,226,804,1025.062
deposit,425,805,2977.7916
withdrawal,17,806,8622.1341
deposit,45,807,7756.5409
withdrawal,122,808,8610.6259
deposit,313,809,6161.8958
deposit,402,810,8054.5995
withdrawal,292,811,5968.98
withdrawal,87,812,2894.0431
dispute,264,468,
dispute,493,769,
withdrawal,68,818,8284.9895
resolve,390,49,
withdrawal,73,820,6278.5004
deposit,193,821,4029.1049
withdrawal,384,822,4547.5018
deposit,250,823,8689.2087
deposit,341,825,7956.9836
withdrawal,204,826,8248.6516
withdrawal,254,827,3378.2138
withdrawal,296,828,7883.2482
deposit,458,829,460.3833
deposit,236,831,4413.4182
dispute,1,469,
deposit,452,834,8744.3593
withdrawal,449,835,2504.6424
deposit,191,836,518.821
deposit,321,837,4292.8802
deposit,1,839,1327.8652
withdrawal,116,840,93.8602
deposit,357,841,9881.5609
withdrawal,217,842,709.2122
deposit,197,843,1032.9121
deposit,71,845,6416.1199
deposit,347,846,6103.5821
deposit,85,847,6281.1723
deposit,316,849,867.7936
deposit,52,850,5896.1496
withdrawal,197,851,3145.7222
deposit,72,852,2482.4221
withdrawal,308,853,7789.9176
withdrawal,354,854,2055.2517
withdrawal,311,855,2956.125
deposit,254,858,4996.3258
deposit,305,859,9868.8384
withdrawal,479,860,8608.2792
deposit,292,861,7627.4967
deposit,38,863,138.9205
deposit,111,864,9486.8513
withdrawal,204,865,4236.3288
deposit,206,866,2775.3999
deposit,159,867,9743.1595
withdrawal,80,868,5864.7852
withdrawal,349,870,6987.0601
dispute,374,12,
withdrawal,126,872,1160.7498
withdrawal,314,873,6661.1297
deposit,62,875,7015.2946
withdrawal,84,876,5230.5306
deposit,133,878,7498.0141
deposit,448,879,7714.5315
withdrawal,16,880,2720.534
deposit,33,881,4961.9795
withdrawal,262,882,8593.7385
withdrawal,86,883,7733.5162
deposit,458,884,2284.8158
deposit,261,885,2446.27
deposit,242,886,1790.4304
dispute,284,91,
withdrawal,165,889,2713.3083
deposit,40,890,5020.9074
deposit,462,891,8043.5759
withdrawal,444,893,3273.6819
withdrawal,284,894,2007.5109
withdrawal,125,896,9977.8734
deposit,398,897,1506.5132
deposit,478,898,5415.9105
withdrawal,450,900,15.6189
withdrawal,337,901,1040.3862
deposit,215,903,9725.6198
deposit,48,905,8972.9774
withdrawal,267,906,4585.1218
deposit,383,907,5054.7722
deposit,39,909,4350.3938
withdrawal,494,910,2610.6484
deposit,163,913,747.7997
deposit,104,914,1554.9501
withdrawal,85,915,4065.719
deposit,275,916,4519.7189
deposit,238,917,905.1185
deposit,414,918,2150.9929
deposit,439,919,7111.8628
deposit,496,920,6772.1566
dispute,134,172,
withdrawal,488,922,5559.9817
withdrawal,282,923,1019.9716
deposit,407,924,617.6302
withdrawal,67,926,3723.0252
withdrawal,44,928,9174.3684
deposit,39,929,1978.3056
deposit,331,930,920.6944
dispute,434,672,
dispute,22,102,
withdrawal,474,933,4961.7678
deposit,196,934,3540.0786
withdrawal,466,935,4460.6683
deposit,77,936,6473.1367
withdrawal,256,937,610.7297
withdrawal,144,938,1995.3786
deposit,411,940,9894.0468
withdrawal,246,942,3440.9972
withdrawal,290,943,2705.0864
deposit,14,944,294.0053
deposit,272,946,9739.8246
deposit,52,947,2666.0035
deposit,378,949,5757.3454
deposit,409,950,1761.8276
withdrawal,304,951,9139.8861
withdrawal,486,954,5421.7039
deposit,90,955,562.6236
withdrawal,309,956,7.8343
deposit,470,957,3408.2497
deposit,31,960,7743.8906
withdrawal,434,961,9605.6269
withdrawal,52,963,1365.3802
withdrawal,492,965,1742.8525
withdrawal,496,966,2233.1489
deposit,376,968,1777.9052
chargeback,1,469,
withdrawal,17,970,9210.4611
deposit,496,971,9366.9412
deposit,73,972,2380.7213
deposit,164,973,8216.7964
withdrawal,344,974,4466.8527
deposit,136,975,3505.4611
deposit,403,976,482.4264
withdrawal,497,978,4931.3269
withdrawal,194,979,1015.1842
deposit,296,981,1627.4025
deposit,11,983,742.9298
deposit,39,985,3380.1679
deposit,361,987,6073.5689
deposit,223,988,3311.6147
withdrawal,499,989,6606.3183
deposit,153,990,3929.6292
deposit,79,992,4276.632
deposit,321,994,970.772
withdrawal,106,995,9770.5999
withdrawal,242,997,912.2776
withdrawal,279,998,8855.0414
deposit,190,999,2633.6964
withdrawal,239,1000,5642.9016
withdrawal,342,1002,8081.9934
dispute,212,735,
withdrawal,284,1004,8184.2337
withdrawal,452,1006,790.4715
deposit,410,1009,1203.6985
deposit,388,1010,9721.6766
deposit,414,1011,4234.3256
deposit,350,1012,8341.2471
deposit,133,1013,871.1874
withdrawal,285,1014,8566.3852
deposit,267,1015,7865.7198
withdrawal,320,1016,1126.0759
deposit,77,1017,9249.3567
withdrawal,451,1019,2642.1022
withdrawal,336,1020,375.6192
withdrawal,142,1021,388.7865
dispute,456,692,
withdrawal,382,1023,8970.4166
withdrawal,11,1024,3110.182
deposit,432,1025,9724.9939
withdrawal,117,1026,7740.535
withdrawal,165,1027,6050.1863
deposit,46,1028,9134.4146
withdrawal,389,1030,8210.3529
withdrawal,34,1032,1357.3626
deposit,436,1033,1738.1998
dispute,449,662,
withdrawal,17,1035,7046.6348
withdrawal,141,1036,5051.7586
withdrawal,349,1038,4888.3786
withdrawal,229,1039,5869.2156
withdrawal,180,1040,7489.8624
deposit,353,1041,3866.2701
deposit,439,1044,6777.2748
deposit,138,1045,8646.4347
deposit,467,1047,6011.8184
withdrawal,5,1048,7127.6921
withdrawal,364,1049,8954.9343
withdrawal,437,1050,2182.8723
withdrawal,155,1051,5845.2871
withdrawal,4,1052,5615.0097
withdrawal,305,1053,6844.4469
withdrawal,247,1054,6406.3069
withdrawal,442,1055,1884.4125
withdrawal,461,1057,6605.6427
deposit,349,1058,6554.3503
withdrawal,152,1059,4046.5843
deposit,378,1060,3432.3273
withdrawal,366,1061,9065.3585
withdrawal,344,1062,8454.347
deposit,431,1063,2938.5467
withdrawal,242,1064,7252.1412
deposit,461,1066,2223.3129
withdrawal,158,1068,3717.4526
deposit,300,1069,4705.8951
deposit,444,1070,4722.7246
withdrawal,100,1071,5298.8552
deposit,212,1072,1374.5152
withdrawal,103,1073,1433.0983
withdrawal,399,1075,6310.6967
deposit,91,1076,48.1303
deposit,141,1077,5763.2129
deposit,82,1078,1294.9302
withdrawal,223,1079,4290.8255
deposit,245,1080,5338.2922
deposit,375,1081,8920.1719
dispute,388,1010,
deposit,347,1083,2263.4308
deposit,450,1084,1027.9795
deposit,258,1085,653.8049
withdrawal,24,1086,4559.8072
withdrawal,267,1087,4337.2186
withdrawal,385,1090,192.2282
deposit,68,1092,5897.3387
deposit,87,1093,3752.5491
deposit,328,1094,5939.6468
deposit,25,1095,483.3023
withdrawal,60,1096,1236.827
deposit,130,1097,2055.7437
withdrawal,352,1098,4209.2937
withdrawal,52,1099,6228.355
deposit,359,1100,5116.3363
deposit,317,1101,7847.8159
deposit,255,1102,7779.8112
deposit,426,1103,3579.8604
deposit,210,1104,5481.8395
withdrawal,467,1105,3306.7056
deposit,2,1106,9068.8936
withdrawal,428,1107,1492.2958
withdrawal,330,1110,2641.9861
deposit,26,1111,8741.5304
withdrawal,437,1112,4260.5261
deposit,60,1113,97.7136
deposit,71,1114,3287.2796
withdrawal,458,1115,8784.8769
withdrawal,48,1116,1829.5113
withdrawal,206,1117,2719.0591
withdrawal,198,1118,7999.1911
dispute,333,459,
deposit,68,1120,9815.7101
withdrawal,433,1121,9112.3564
withdrawal,348,1123,7791.8638
deposit,314,1124,4831.3135
withdrawal,250,1125,4407.4381
withdrawal,33,1126,124.5898
deposit,445,1127,9778.9777
deposit,266,1129,4329.0462
withdrawal,373,1130,6637.4427
deposit,329,1131,117.437
withdrawal,479,1132,8518.8596
withdrawal,446,1133,3207.0175
withdrawal,26,1135,4033.3667
withdrawal,121,1136,8012.8116
withdrawal,230,1137,4471.2341
deposit,382,1139,4034.9932
deposit,19,1140,8259.2617
withdrawal,406,1141,8901.2189
withdrawal,288,1142,9503.6009
withdrawal,419,1144,3320.3943
withdrawal,393,1145,7166.864
deposit,59,1147,22.9673
deposit,55,1150,4924.729
dispute,421,718,
deposit,131,1152,1208.3373
withdrawal,437,1153,8245.7169
deposit,235,1156,9638.5837
deposit,3,1157,5532.7101
deposit,91,1161,7305.2161
withdrawal,66,1162,5041.5971
deposit,197,1163,2736.6852
withdrawal,494,1164,4529.0042
withdrawal,69,1165,8430.9012
deposit,284,1168,2097.9172
withdrawal,366,1169,9211.9965
withdrawal,278,1171,7103.8169
withdrawal,390,1172,5828.4799
withdrawal,483,1173,6742.7606
deposit,414,1175,253.6961
deposit,75,1176,1999.8243
deposit,147,1178,8393.9788
deposit,417,1181,7424.3849
withdrawal,288,1182,6929.6678
deposit,351,1185,130.6394
withdrawal,129,1186,8300.0048
withdrawal,467,1187,7551.3219
withdrawal,494,1190,1775.0816
deposit,350,1191,7351.0598
withdrawal,62,1192,2791.8434
withdrawal,136,1193,57.4457
withdrawal,80,1195,5969.2064
withdrawal,405,1198,729.7351
deposit,363,1199,9569.9202
deposit,267,1200,4159.8965
withdrawal,275,1201,2212.7596
withdrawal,110,1202,3608.6174
deposit,317,1204,1148.1048
deposit,178,1205,9589.0093
dispute,350,1191,
withdrawal,198,1207,248.0326
withdrawal,192,1209,4868.5603
deposit,264,1211,1674.7807
deposit,274,1213,2108.604
deposit,443,1215,2056.5901
deposit,383,1218,4592.7931
deposit,170,1219,543.6264
deposit,407,1220,5750.048
withdrawal,231,1222,3164.7261
deposit,200,1223,6414.586
deposit,317,1224,7009.1194
deposit,38,1225,2899.0762
deposit,352,1226,2815.8929
withdrawal,475,1227,8221.4016
deposit,16,1228,1364.6782
deposit,435,1230,2981.267
deposit,332,1233,5535.6884
deposit,285,1234,51.2934
deposit,306,1235,3047.6068
dispute,384,106,
dispute,212,1072,
withdrawal,83,1238,1944.0678
deposit,93,1239,8514.0258
deposit,282,1241,2507.6255
resolve,102,187,
deposit,183,1243,1001.3505
deposit,318,1244,3178.5416
withdrawal,231,1245,6934.8878
withdrawal,79,1246,8077.1899
deposit,491,1247,3132.8346
withdrawal,403,1248,2767.5217
withdrawal,185,1249,8778.9804
withdrawal,237,1250,4870.2269
deposit,56,1251,8418.0882
withdrawal,457,1253,7335.7126
deposit,321,1254,8921.1597
deposit,435,1255,8126.6114
deposit,297,1256,9063.1295
withdrawal,283,1257,6539.4275
deposit,77,1258,8914.484
dispute,302,232,
deposit,238,1260,3968.4548
deposit,258,1261,8479.9704
